cityname,distance,Artscultureandentertainment_cityA,Artscultureandentertainment_cityB,Artscultureandentertainment_interaction,Lifestyleandleisure_cityA,Lifestyleandleisure_cityB,Lifestyleandleisure_interaction,Sport_cityA,Sport_cityB,Sport_interaction,Environment_cityA,Environment_cityB,Environment_interaction,Economybusinessandfinance_cityA,Economybusinessandfinance_cityB,Economybusinessandfinance_interaction,Society_cityA,Society_cityB,Society_interaction,Crimelawandjustice_cityA,Crimelawandjustice_cityB,Crimelawandjustice_interaction,Scienceandtechnology_cityA,Scienceandtechnology_cityB,Scienceandtechnology_interaction,Politics_cityA,Politics_cityB,Politics_interaction,Disasteraccidentandemergencyincident_cityA,Disasteraccidentandemergencyincident_cityB,Disasteraccidentandemergencyincident_interaction,Health_cityA,Health_cityB,Health_interaction,Conflictswarandpeace_cityA,Conflictswarandpeace_cityB,Conflictswarandpeace_interaction,Education_cityA,Education_cityB,Education_interaction,Humaninterest_cityA,Humaninterest_cityB,Humaninterest_interaction,Weather_cityA,Weather_cityB,Weather_interaction,Religionandbelief_cityA,Religionandbelief_cityB,Religionandbelief_interaction,Labor_cityA,Labor_cityB,Labor_interaction,total_cityA,total_cityB,total_interaction
New York-Los Angeles,3940157.439,11016,8136,2788,3443,1169,446,2765,2374,838,1867,522,130,3203,1584,664,3453,901,326,4152,1697,454,2765,1369,420,3510,974,392,1429,228,41,1127,324,72,1273,493,154,975,236,66,892,1489,355,579,182,36,913,320,74,89,92,29,43450,17049,5605
New York-Chicago,1145578.256,11016,4838,1723,3443,803,310,2765,2231,1111,1867,415,120,3203,1672,670,3453,739,271,4152,1088,375,2765,878,279,3510,1838,643,1429,81,37,1127,319,70,1273,535,156,975,360,106,892,376,125,579,90,50,913,323,86,89,173,27,43450,13367,4895
New York-Houston,2283902.526,11016,1288,335,3443,199,74,2765,1460,748,1867,253,52,3203,457,113,3453,228,55,4152,538,105,2765,314,53,3510,320,83,1429,93,13,1127,136,21,1273,134,21,975,77,17,892,116,17,579,21,5,913,76,12,89,27,4,43450,4650,1538
New York-Philadelphia,129763.1303,11016,1546,591,3443,259,95,2765,1335,874,1867,91,30,3203,377,167,3453,226,94,4152,329,120,2765,214,67,3510,493,187,1429,58,48,1127,122,32,1273,95,59,975,102,31,892,99,32,579,86,63,913,148,52,89,17,2,43450,4549,2170
New York-Phoenix,3447564.528,11016,2097,377,3443,370,57,2765,744,221,1867,160,24,3203,478,60,3453,257,31,4152,248,49,2765,312,36,3510,239,56,1429,52,5,1127,63,5,1273,123,13,975,193,14,892,343,80,579,24,1,913,61,5,89,56,1,43450,4740,841
New York-San Antonio,2547871.312,11016,113,25,3443,112,20,2765,398,182,1867,47,10,3203,41,15,3453,49,13,4152,88,15,2765,32,6,3510,100,37,1429,21,2,1127,25,4,1273,40,13,975,5,0,892,21,3,579,8,3,913,16,2,89,1,0,43450,903,302
New York-San Diego,3911541.149,11016,673,183,3443,148,44,2765,686,345,1867,178,20,3203,219,62,3453,135,31,4152,175,45,2765,290,54,3510,122,43,1429,92,18,1127,150,25,1273,103,24,975,69,18,892,116,25,579,11,5,913,45,10,89,7,3,43450,2457,785
New York-Dallas,2208203.407,11016,1316,342,3443,210,63,2765,1449,769,1867,139,23,3203,377,110,3453,157,36,4152,338,78,2765,238,55,3510,338,92,1429,61,6,1127,160,46,1273,85,25,975,61,7,892,245,54,579,28,6,913,74,10,89,22,2,43450,4292,1508
New York-San Jose,4106458.344,11016,118,30,3443,69,13,2765,598,332,1867,43,5,3203,105,29,3453,32,9,4152,69,19,2765,239,40,3510,32,10,1429,35,4,1127,12,1,1273,15,2,975,20,1,892,9,1,579,1,0,913,15,5,89,1,0,43450,1236,503
New York-Austin,2434338.761,11016,1947,344,3443,470,73,2765,1231,142,1867,159,25,3203,445,61,3453,263,32,4152,359,65,2765,470,92,3510,271,59,1429,44,4,1127,136,10,1273,186,36,975,174,24,892,166,33,579,31,2,913,87,14,89,301,12,43450,5321,793
New York-Jacksonville,728452.5044,11016,54,23,3443,18,4,2765,319,198,1867,5,2,3203,22,10,3453,13,5,4152,46,15,2765,12,3,3510,44,12,1429,6,2,1127,5,0,1273,7,2,975,3,0,892,2,0,579,5,3,913,3,1,89,1,0,43450,532,279
New York-San Francisco,4133717.071,11016,2967,1099,3443,902,338,2765,1116,512,1867,542,143,3203,1150,440,3453,621,224,4152,588,194,2765,2436,596,3510,505,194,1429,119,24,1127,319,79,1273,262,82,975,186,48,892,225,70,579,36,14,913,165,40,89,47,6,43450,9266,3122
New York-Indianapolis,1037115.845,11016,151,59,3443,21,9,2765,733,323,1867,15,5,3203,53,15,3453,31,9,4152,70,28,2765,34,10,3510,74,28,1429,10,0,1127,16,3,1273,16,1,975,10,1,892,3,1,579,5,3,913,17,4,89,4,0,43450,1078,461
New York-Columbus,1029723.069,11016,439,127,3443,185,50,2765,439,299,1867,43,10,3203,84,25,3453,65,24,4152,59,17,2765,105,21,3510,156,46,1429,15,4,1127,31,5,1273,25,7,975,36,8,892,36,9,579,7,2,913,74,18,89,8,0,43450,1528,618
New York-Fort Worth,2252674.793,11016,80,36,3443,16,5,2765,37,10,1867,22,3,3203,53,18,3453,12,5,4152,67,14,2765,19,4,3510,51,9,1429,14,2,1127,25,5,1273,18,9,975,5,1,892,1,0,579,9,2,913,10,1,89,0,0,43450,313,89
New York-Charlotte,855560.719,11016,4529,627,3443,1052,135,2765,755,131,1867,144,15,3203,463,82,3453,696,49,4152,447,40,2765,328,34,3510,245,57,1429,32,8,1127,263,16,1273,114,17,975,539,31,892,434,59,579,39,4,913,95,11,89,259,11,43450,8326,1042
New York-Seattle,3869861.564,11016,1317,413,3443,349,126,2765,1353,736,1867,288,61,3203,651,226,3453,270,91,4152,369,101,2765,762,158,3510,196,70,1429,41,8,1127,187,34,1273,154,62,975,73,16,892,84,20,579,19,7,913,67,20,89,24,5,43450,4962,1824
New York-Denver,2621989.574,11016,420,138,3443,175,42,2765,765,404,1867,92,26,3203,207,77,3453,163,48,4152,222,65,2765,128,36,3510,648,199,1429,31,3,1127,69,19,1273,74,35,975,45,14,892,32,6,579,24,11,913,42,7,89,16,3,43450,2612,966
New York-El Paso,3056808.632,11016,63,13,3443,35,12,2765,17,5,1867,12,0,3203,10,3,3453,43,8,4152,106,17,2765,6,2,3510,34,6,1429,6,1,1127,18,1,1273,12,1,975,5,0,892,2,0,579,10,2,913,5,1,89,0,0,43450,274,56
New York-Detroit,774253.0808,11016,1543,456,3443,196,75,2765,1004,545,1867,124,30,3203,875,223,3453,274,93,4152,265,90,2765,202,52,3510,363,106,1429,38,13,1127,46,12,1273,257,60,975,68,17,892,79,25,579,36,21,913,67,21,89,24,7,43450,4543,1542
New York-Washington,327951.1176,11016,3658,2153,3443,889,351,2765,602,716,1867,1431,366,3203,2015,1546,3453,1668,568,4152,2114,1335,2765,1472,884,3510,4176,3492,1429,327,137,1127,692,176,1273,1684,1863,975,602,164,892,293,159,579,293,88,913,724,338,89,221,108,43450,22862,10574
New York-Boston,306448.7887,11016,2394,896,3443,585,185,2765,1714,757,1867,239,71,3203,1167,475,3453,526,170,4152,964,317,2765,914,300,3510,890,317,1429,128,76,1127,421,79,1273,418,159,975,417,66,892,270,99,579,149,88,913,279,94,89,166,20,43450,8910,3183
New York-Memphis,1535724.232,11016,902,221,3443,132,29,2765,580,146,1867,15,5,3203,55,13,3453,66,21,4152,92,28,2765,33,7,3510,64,15,1429,12,3,1127,20,3,1273,21,10,975,15,5,892,57,14,579,16,5,913,26,1,89,2,0,43450,1832,451
New York-Nashville,1222135.014,11016,1106,231,3443,118,30,2765,106,49,1867,24,6,3203,59,18,3453,56,18,4152,60,11,2765,49,11,3510,110,36,1429,10,2,1127,27,6,1273,17,8,975,19,4,892,38,5,579,4,1,913,22,7,89,3,1,43450,1580,379
New York-Portland,450956.1346,11016,803,189,3443,528,115,2765,762,410,1867,201,31,3203,317,65,3453,202,43,4152,161,30,2765,189,37,3510,127,29,1429,47,8,1127,50,12,1273,115,40,975,83,9,892,32,8,579,47,9,913,22,5,89,72,2,43450,2969,897
New York-Oklahoma City,2133665.267,11016,76,21,3443,16,7,2765,272,163,1867,18,6,3203,22,8,3453,26,6,4152,117,41,2765,13,5,3510,54,18,1429,21,2,1127,9,3,1273,38,14,975,3,1,892,4,1,579,6,0,913,24,4,89,0,0,43450,588,262
New York-Las Vegas,3588886.851,11016,2046,514,3443,630,182,2765,1254,214,1867,107,20,3203,626,181,3453,262,55,4152,350,79,2765,718,109,3510,418,128,1429,39,14,1127,65,9,1273,87,20,975,42,8,892,207,44,579,675,100,913,55,13,89,65,7,43450,5647,1247
New York-Baltimore,272860.6696,11016,1095,330,3443,131,46,2765,748,437,1867,43,16,3203,152,65,3453,213,79,4152,451,141,2765,154,46,3510,193,74,1429,46,25,1127,119,24,1273,78,30,975,57,16,892,46,16,579,36,20,913,32,8,89,25,6,43450,2903,1147
New York-Louisville,1045313.34,11016,128,49,3443,26,6,2765,183,47,1867,16,3,3203,26,13,3453,23,5,4152,28,9,2765,17,3,3510,53,19,1429,6,0,1127,17,6,1273,5,4,975,13,1,892,8,3,579,7,2,913,18,3,89,2,0,43450,443,134
New York-Milwaukee,1179426.757,11016,170,66,3443,38,16,2765,279,188,1867,21,7,3203,63,24,3453,35,13,4152,75,24,2765,26,8,3510,139,35,1429,5,1,1127,9,4,1273,11,3,975,16,3,892,5,2,579,3,3,913,27,7,89,2,0,43450,762,346
New York-Albuquerque,2913622.679,11016,169,44,3443,42,8,2765,39,9,1867,28,5,3203,22,4,3453,18,6,4152,44,17,2765,26,6,3510,37,10,1429,15,2,1127,12,5,1273,12,2,975,3,0,892,8,3,579,7,1,913,6,1,89,2,0,43450,377,94
New York-Tucson,3410053.939,11016,95,27,3443,37,12,2765,119,10,1867,19,2,3203,15,4,3453,42,9,4152,180,65,2765,44,9,3510,140,47,1429,4,0,1127,13,2,1273,21,7,975,9,3,892,8,0,579,2,1,913,21,3,89,0,0,43450,571,134
New York-Fresno,3953912.038,11016,32,8,3443,15,3,2765,8,3,1867,21,3,3203,14,5,3453,17,4,4152,20,4,2765,5,2,3510,6,3,1429,15,0,1127,4,0,1273,7,1,975,3,0,892,2,0,579,0,0,913,3,2,89,1,1,43450,120,27
New York-Sacramento,4027480.588,11016,129,45,3443,51,11,2765,185,103,1867,71,12,3203,103,36,3453,59,17,4152,95,26,2765,31,5,3510,105,27,1429,42,6,1127,20,3,1273,24,5,975,11,4,892,10,3,579,8,1,913,15,0,89,4,0,43450,711,246
New York-Kansas City,1765617.143,11016,271,114,3443,52,22,2765,855,576,1867,18,3,3203,89,21,3453,50,17,4152,81,21,2765,30,9,3510,80,21,1429,4,1,1127,17,3,1273,17,6,975,14,5,892,7,2,579,8,4,913,25,7,89,1,0,43450,1469,830
New York-Long Beach,3948857.473,11016,132,51,3443,95,13,2765,41,9,1867,22,4,3203,30,8,3453,16,4,4152,28,8,2765,27,6,3510,21,10,1429,17,5,1127,9,4,1273,13,6,975,3,1,892,7,2,579,4,2,913,5,3,89,1,0,43450,354,95
New York-Mesa,3428650.271,11016,49,16,3443,56,9,2765,18,3,1867,31,3,3203,9,2,3453,6,0,4152,10,2,2765,18,1,3510,23,0,1429,7,0,1127,2,0,1273,7,1,975,2,0,892,5,1,579,3,1,913,5,2,89,0,0,43450,199,34
New York-Atlanta,1201663.468,11016,960,297,3443,191,62,2765,1354,547,1867,92,21,3203,340,111,3453,248,92,4152,293,107,2765,187,51,3510,253,85,1429,46,19,1127,184,45,1273,86,39,975,83,14,892,79,21,579,51,22,913,71,20,89,17,0,43450,3613,1282
New York-Colorado Springs,2631258.19,11016,22,8,3443,6,1,2765,20,6,1867,8,2,3203,7,3,3453,12,4,4152,50,15,2765,13,2,3510,51,8,1429,21,1,1127,14,3,1273,13,3,975,5,2,892,1,0,579,3,1,913,17,2,89,0,0,43450,191,46
New York-Virginia Beach,462464.426,11016,25,11,3443,4,2,2765,9,5,1867,2,1,3203,2,1,3453,0,0,4152,8,2,2765,0,0,3510,16,4,1429,7,4,1127,0,0,1273,4,1,975,0,0,892,3,1,579,0,0,913,1,0,89,0,0,43450,64,26
New York-Raleigh,682098.8079,11016,275,56,3443,143,21,2765,171,9,1867,25,3,3203,55,14,3453,55,7,4152,42,16,2765,30,3,3510,52,10,1429,7,4,1127,10,1,1273,15,6,975,43,4,892,7,1,579,8,5,913,14,0,89,6,0,43450,750,121
New York-Omaha,1844164.921,11016,162,57,3443,43,12,2765,40,10,1867,17,3,3203,173,60,3453,21,9,4152,34,9,2765,21,7,3510,45,15,1429,2,0,1127,15,4,1273,36,6,975,9,2,892,8,2,579,5,1,913,6,2,89,5,0,43450,497,151
New York-Miami,1759932.469,11016,1846,571,3443,620,219,2765,2090,769,1867,154,37,3203,475,178,3453,210,62,4152,542,137,2765,302,86,3510,544,143,1429,117,31,1127,92,19,1273,195,54,975,55,10,892,122,27,579,57,15,913,61,16,89,39,2,43450,6138,1936
New York-Oakland,4120338.125,11016,238,86,3443,49,17,2765,588,329,1867,75,12,3203,115,39,3453,108,48,4152,189,70,2765,89,30,3510,63,34,1429,18,3,1127,30,8,1273,123,65,975,20,4,892,33,3,579,7,2,913,22,6,89,4,2,43450,1421,631
New York-Minneapolis,1637494.509,11016,407,135,3443,64,23,2765,60,25,1867,51,14,3203,117,43,3453,57,21,4152,98,31,2765,61,25,3510,135,45,1429,29,3,1127,32,9,1273,55,22,975,14,3,892,37,9,579,13,8,913,36,12,89,5,2,43450,961,319
New York-Tulsa,1977431.664,11016,102,40,3443,14,6,2765,37,7,1867,4,2,3203,14,4,3453,8,4,4152,38,10,2765,6,4,3510,9,3,1429,8,2,1127,6,1,1273,3,3,975,7,3,892,1,0,579,3,2,913,6,2,89,1,1,43450,221,73
New York-Wichita,2034322.221,11016,237,45,3443,22,8,2765,107,9,1867,14,2,3203,9,4,3453,9,1,4152,41,13,2765,14,2,3510,22,4,1429,3,1,1127,15,5,1273,5,1,975,4,2,892,4,1,579,2,1,913,3,1,89,1,1,43450,453,77
New York-New Orleans,1882413.927,11016,1602,457,3443,280,84,2765,633,335,1867,300,67,3203,204,67,3453,199,79,4152,271,85,2765,104,32,3510,347,123,1429,408,84,1127,76,11,1273,59,24,975,60,14,892,83,21,579,15,4,913,61,11,89,18,3,43450,3777,1245
New York-Arlington,2235697.867,11016,126,36,3443,55,13,2765,148,31,1867,21,1,3203,47,12,3453,38,8,4152,46,19,2765,27,5,3510,92,22,1429,8,1,1127,7,0,1273,81,20,975,12,2,892,17,4,579,4,2,913,19,3,89,13,2,43450,562,132
New York-Cleveland,1135787.884,11016,654,197,3443,169,27,2765,854,447,1867,61,9,3203,265,62,3453,272,50,4152,479,100,2765,89,20,3510,255,82,1429,13,2,1127,91,15,1273,44,13,975,84,10,892,39,11,579,46,7,913,33,7,89,94,3,43450,2871,932
New York-Bakersfield,3947209.22,11016,35,11,3443,6,3,2765,4,0,1867,17,4,3203,9,1,3453,2,0,4152,17,4,2765,10,0,3510,10,1,1429,4,1,1127,3,1,1273,3,0,975,4,0,892,2,1,579,0,0,913,5,2,89,0,0,43450,101,21
New York-Tampa,1617263.896,11016,124,34,3443,39,10,2765,678,416,1867,30,8,3203,134,45,3453,57,9,4152,96,26,2765,33,9,3510,383,69,1429,24,8,1127,18,5,1273,76,21,975,10,0,892,9,2,579,9,3,913,18,5,89,5,0,43450,1453,616
New York-Aurora,1202513.735,11016,528,75,3443,241,23,2765,47,2,1867,129,6,3203,67,13,3453,57,6,4152,217,67,2765,155,12,3510,78,30,1429,19,0,1127,25,3,1273,33,5,975,42,2,892,33,5,579,30,0,913,16,3,89,5,0,43450,1337,188
New York-Anaheim,3922333.429,11016,45,10,3443,11,2,2765,152,108,1867,4,2,3203,9,2,3453,1,0,4152,12,5,2765,18,5,3510,6,1,1429,6,0,1127,5,2,1273,1,0,975,2,0,892,6,2,579,5,1,913,11,1,89,0,0,43450,251,128
New York-Santa Ana,3922525.587,11016,25,8,3443,25,1,2765,4,2,1867,13,3,3203,9,1,3453,11,3,4152,22,3,2765,4,2,3510,6,2,1429,29,4,1127,2,1,1273,2,0,975,2,1,892,6,1,579,4,0,913,3,1,89,0,0,43450,123,23
New York-Corpus Christi,2574873.744,11016,127,15,3443,18,0,2765,20,2,1867,13,0,3203,17,1,3453,15,1,4152,59,4,2765,13,0,3510,29,6,1429,12,1,1127,6,0,1273,13,2,975,121,4,892,4,0,579,0,0,913,38,2,89,30,3,43450,362,27
New York-Riverside,3873264.067,11016,712,127,3443,932,88,2765,1203,21,1867,196,10,3203,181,23,3453,279,25,4152,133,12,2765,46,9,3510,69,27,1429,101,4,1127,27,6,1273,72,12,975,128,8,892,27,5,579,59,0,913,33,9,89,112,3,43450,3681,301
New York-St Louis,1404757.936,11016,499,184,3443,109,40,2765,760,456,1867,58,18,3203,182,67,3453,153,52,4152,412,127,2765,68,16,3510,179,57,1429,38,6,1127,60,9,1273,65,21,975,44,8,892,19,5,579,10,3,913,52,16,89,0,0,43450,2223,915
New York-Lexington,950322.9169,11016,178,52,3443,81,27,2765,52,10,1867,8,3,3203,38,16,3453,17,5,4152,26,9,2765,9,2,3510,54,24,1429,13,8,1127,5,0,1273,32,5,975,11,1,892,0,0,579,4,4,913,10,3,89,7,0,43450,460,133
New York-Stockton,4033512.543,11016,197,22,3443,105,7,2765,114,12,1867,32,3,3203,136,19,3453,115,4,4152,53,4,2765,23,0,3510,30,5,1429,7,0,1127,30,2,1273,17,3,975,102,2,892,7,2,579,26,0,913,6,0,89,140,4,43450,907,69
New York-Pittsburgh,507263.0902,11016,439,160,3443,63,17,2765,709,438,1867,84,29,3203,228,61,3453,78,26,4152,110,47,2765,130,36,3510,194,61,1429,9,6,1127,84,17,1273,44,25,975,47,11,892,27,9,579,15,9,913,34,9,89,29,4,43450,1876,834
New York-Saint Paul,1623451.084,11016,51,21,3443,31,2,2765,6,2,1867,3,0,3203,6,3,3453,8,5,4152,3,1,2765,3,1,3510,9,2,1429,1,0,1127,0,0,1273,4,0,975,0,0,892,1,1,579,0,0,913,31,3,89,4,0,43450,120,28
New York-Cincinnati,914241.695,11016,235,90,3443,46,18,2765,770,410,1867,34,14,3203,49,22,3453,33,17,4152,78,27,2765,52,15,3510,100,35,1429,9,4,1127,33,9,1273,9,4,975,19,4,892,30,5,579,10,3,913,22,9,89,3,1,43450,1330,620
New York-Henderson,3580783.874,11016,819,140,3443,461,62,2765,3133,81,1867,125,10,3203,487,35,3453,238,10,4152,133,9,2765,106,11,3510,107,15,1429,15,2,1127,87,6,1273,55,5,975,124,7,892,84,7,579,36,2,913,35,2,89,133,2,43450,5780,335
New York-Greensboro,721925.8582,11016,12,6,3443,3,2,2765,12,4,1867,4,3,3203,8,2,3453,13,5,4152,22,10,2765,8,4,3510,27,8,1429,0,0,1127,0,0,1273,0,0,975,2,1,892,0,0,579,0,0,913,4,1,89,0,0,43450,78,30
New York-Plano,2186785.72,11016,5,0,3443,10,2,2765,10,0,1867,4,0,3203,2,2,3453,8,2,4152,5,1,2765,8,1,3510,5,0,1429,3,0,1127,4,0,1273,1,0,975,0,0,892,1,1,579,0,0,913,7,1,89,0,0,43450,51,7
New York-Newark,4111779.51,11016,230,103,3443,121,34,2765,69,25,1867,34,2,3203,178,72,3453,90,29,4152,132,64,2765,47,15,3510,131,52,1429,32,23,1127,44,26,1273,59,24,975,91,9,892,20,4,579,50,29,913,21,5,89,162,3,43450,1101,381
New York-Toledo,806522.297,11016,122,35,3443,50,8,2765,71,20,1867,24,5,3203,42,5,3453,15,3,4152,20,5,2765,13,3,3510,109,28,1429,2,1,1127,5,1,1273,16,2,975,7,0,892,2,1,579,3,2,913,20,2,89,1,0,43450,409,100
New York-Lincoln,3999902.995,11016,2093,635,3443,538,98,2765,840,38,1867,128,19,3203,280,38,3453,353,43,4152,253,30,2765,214,40,3510,912,253,1429,39,14,1127,79,5,1273,207,35,975,408,22,892,363,102,579,54,3,913,246,55,89,228,4,43450,5632,1090
New York-Orlando,1512782.623,11016,1079,201,3443,273,52,2765,755,306,1867,80,11,3203,173,50,3453,99,23,4152,249,43,2765,93,20,3510,191,50,1429,27,6,1127,39,7,1273,63,4,975,41,3,892,134,22,579,23,8,913,58,5,89,12,4,43450,2731,682
New York-Chula Vista,3908719.084,11016,3,1,3443,1,0,2765,17,10,1867,2,1,3203,4,2,3453,1,0,4152,2,0,2765,0,0,3510,0,0,1429,0,0,1127,0,0,1273,0,0,975,2,0,892,0,0,579,0,0,913,0,0,89,0,0,43450,26,12
New York-Jersey City,6286.730815,11016,33,25,3443,10,9,2765,8,5,1867,1,1,3203,11,9,3453,10,6,4152,12,7,2765,5,1,3510,27,19,1429,9,9,1127,3,2,1273,2,2,975,2,1,892,0,0,579,2,1,913,12,5,89,0,0,43450,103,73
New York-Chandler,3434580.502,11016,939,231,3443,121,15,2765,486,75,1867,32,2,3203,138,20,3453,64,10,4152,114,8,2765,77,10,3510,36,6,1429,2,0,1127,16,1,1273,76,4,975,41,3,892,53,14,579,9,0,913,9,1,89,24,0,43450,1916,347
New York-Fort Wayne,937085.3304,11016,10,6,3443,1,0,2765,5,2,1867,1,0,3203,5,1,3453,3,1,4152,2,1,2765,1,0,3510,8,0,1429,1,0,1127,2,1,1273,2,1,975,2,1,892,1,1,579,0,0,913,3,0,89,0,0,43450,31,9
New York-Buffalo,471099.8341,11016,839,275,3443,598,93,2765,470,282,1867,160,14,3203,90,42,3453,74,29,4152,79,42,2765,94,21,3510,77,37,1429,36,18,1127,37,15,1273,43,10,975,45,21,892,82,11,579,26,18,913,24,8,89,12,2,43450,2291,788
